,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
4569,2003-07-06,0.6328479879891397,0.6328479879891397,0.6328479879891397,0.8097948151245455,1.0324743624402128,0.2865401813043728,0.2865401813043728,0.2865401813043728,0.2865401813043728,0.2865401813043728,0.2865401813043728,0.0026130020262624116,0.0026130020262624116,0.0026130020262624116,0.28392717927811034,0.28392717927811034,0.28392717927811034,0.9193881692935124
4570,2003-07-07,0.6328394421545457,0.6328394421545456,0.6328394421545456,0.8019170474587431,1.032543882548629,0.2769648981080034,0.2769648981080034,0.2769648981080034,0.2769648981080034,0.2769648981080034,0.2769648981080034,-0.0038773490214051034,-0.0038773490214051034,-0.0038773490214051034,0.28084224712940853,0.28084224712940853,0.28084224712940853,0.9098043402625491
4571,2003-07-08,0.6328308963199518,0.6328308963199518,0.6328308963199518,0.7923325317221205,1.023816487731297,0.2753717546434206,0.2753717546434206,0.2753717546434206,0.2753717546434206,0.2753717546434206,0.2753717546434206,-0.0023931868902732105,-0.0023931868902732105,-0.0023931868902732105,0.2777649415336939,0.2777649415336939,0.2777649415336939,0.9082026509633725
4572,2003-07-09,0.6328223504853578,0.6328223504853578,0.6328223504853578,0.792213797298335,1.0232846242871738,0.2757185241937164,0.2757185241937164,0.2757185241937164,0.2757185241937164,0.2757185241937164,0.2757185241937164,0.0010038313702716503,0.0010038313702716503,0.0010038313702716503,0.2747146928234448,0.2747146928234448,0.2747146928234448,0.9085408746790742
4573,2003-07-10,0.632813804650764,0.632813804650764,0.632813804650764,0.791899070616935,1.028313115736924,0.2718416155011027,0.2718416155011027,0.2718416155011027,0.2718416155011027,0.2718416155011027,0.2718416155011027,0.0001330073103632782,0.0001330073103632782,0.0001330073103632782,0.2717086081907395,0.2717086081907395,0.2717086081907395,0.9046554201518666
4574,2003-07-11,0.63280525881617,0.63280525881617,0.63280525881617,0.7843921129179872,1.0236783206711664,0.26794096197435296,0.26794096197435296,0.26794096197435296,0.26794096197435296,0.26794096197435296,0.26794096197435296,-0.0008203338030569518,-0.0008203338030569518,-0.0008203338030569518,0.2687612957774099,0.2687612957774099,0.2687612957774099,0.900746220790523
4575,2003-07-12,0.6327967129815761,0.6327967129815761,0.6327967129815761,0.7894996338364973,1.026301732689559,0.2692257784929454,0.2692257784929454,0.2692257784929454,0.2692257784929454,0.2692257784929454,0.2692257784929454,0.0033410290078474364,0.0033410290078474364,0.0033410290078474364,0.26588474948509794,0.26588474948509794,0.26588474948509794,0.9020224914745215
4576,2003-07-13,0.6327881671469822,0.6327881671469822,0.6327881671469822,0.7901703029596473,1.0136282247128405,0.2657012966266873,0.2657012966266873,0.2657012966266873,0.2657012966266873,0.2657012966266873,0.2657012966266873,0.0026130020262589704,0.0026130020262589704,0.0026130020262589704,0.2630882946004283,0.2630882946004283,0.2630882946004283,0.8984894637736695
4577,2003-07-14,0.6327796213123883,0.6327796213123883,0.6327796213123883,0.7704904763941007,1.004754437501848,0.2565012437340196,0.2565012437340196,0.2565012437340196,0.2565012437340196,0.2565012437340196,0.2565012437340196,-0.0038773490214082116,-0.0038773490214082116,-0.0038773490214082116,0.26037859275542785,0.26037859275542785,0.26037859275542785,0.8892808650464079
4578,2003-07-15,0.6327710754777943,0.6327710754777943,0.6327710754777943,0.7675565727045597,1.0108490581049858,0.25536651636273827,0.25536651636273827,0.25536651636273827,0.25536651636273827,0.25536651636273827,0.25536651636273827,-0.0023931868902698564,-0.0023931868902698564,-0.0023931868902698564,0.2577597032530081,0.2577597032530081,0.2577597032530081,0.8881375918405325
4579,2003-07-16,0.6327625296432005,0.6327625296432005,0.6327625296432005,0.7826953260394346,1.0111202812467783,0.2562370277933384,0.2562370277933384,0.2562370277933384,0.2562370277933384,0.2562370277933384,0.2562370277933384,0.001003831370269807,0.001003831370269807,0.001003831370269807,0.2552331964230686,0.2552331964230686,0.2552331964230686,0.8889995574365388
4580,2003-07-17,0.6327539838086065,0.6327539838086065,0.6327539838086065,0.7518840946577363,0.9988002680532382,0.25293132078218405,0.25293132078218405,0.25293132078218405,0.25293132078218405,0.25293132078218405,0.25293132078218405,0.00013300731036057156,0.00013300731036057156,0.00013300731036057156,0.2527983134718236,0.2527983134718236,0.2527983134718236,0.8856853045907905
4581,2003-07-18,0.6327454379740126,0.6327454379740127,0.6327454379740127,0.7567590335789338,1.0016374997572906,0.24963183247492846,0.24963183247492846,0.24963183247492846,0.24963183247492846,0.24963183247492846,0.24963183247492846,-0.0008203338030543272,-0.0008203338030543272,-0.0008203338030543272,0.2504521662779828,0.2504521662779828,0.2504521662779828,0.8823772704489411
