PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,HDD658   ,CDD658   ,MFUSED8  ,MFBTU8   ,MFEXP8   ,ELCNS8   ,ELBTU8   ,ELEXP8   ,ZELCNS8  ,ZELEXP8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2990,4,8,8000,3,4,26,1,1,2,2,2,2,2739.65,37,2,5508,620,1,238404,4115,36815,125613,3156,0,0
2991,3,7,33500,5,5,18,1,2,2,1,2,2,140.13,32,1,3957,1084,1,1368785,24884,401168,1368785,24884,0,0
2992,4,8,255000,8,5,16,1,1,1,2,2,2,11.26,136,2,1000,3692,1,53411507,1034173,12846727,43833033,971482,0,0
2993,1,2,64000,6,3,17,1,1,2,2,2,2,132.45,7,1,6315,486,1,12683930,144408,784929,2678178,67059,1,0
2994,3,7,4200,2,1,26,1,1,2,2,2,2,734.43,32,2,3694,1929,1,219070,3084,24259,82772,1831,1,1
2995,3,5,23250,4,7,14,1,2,2,1,2,1,460.92,27,2,1208,2441,1,2351061,30154,271413,926061,13396,0,0
2998,3,7,8000,3,5,15,1,2,2,1,2,2,1589.69,36,2,1578,2801,1,71372,1796,20918,71372,1796,0,0
2999,1,2,6900,3,2,25,1,2,1,1,2,2,330.24,4,1,6846,238,1,365036,5624,27723,94591,3264,0,0
3000,2,3,2300,2,3,6,1,2,2,1,2,2,2724.37,13,2,7269,566,1,814325,20444,238665,814325,20444,1,0
3001,2,3,158000,7,6,2,1,1,2,2,2,2,77.89,64,1,7888,687,1,12773983,318103,1901366,6487461,283857,0,0
3002,3,5,500001,9,5,2,1,2,2,2,1,2,5.49,22,2,5312,1323,1,105001329,638060,6780577,23135329,439268,0,0
3003,2,3,6000,3,5,26,1,1,2,2,2,2,679.47,13,1,5826,716,1,218179,3651,27201,92810,2470,0,0
3004,3,7,70000,6,6,2,1,1,2,2,2,2,296.94,33,1,4020,1694,1,9809612,163579,2828650,9651354,162301,0,0
3005,3,7,1350,2,5,25,1,1,2,2,2,2,2544.74,36,2,1394,3304,1,69826,1854,18803,64156,1770,0,0
3006,3,7,19000,4,4,6,1,2,2,2,2,2,734.43,32,1,3461,1637,1,4150142,62853,1216337,4150142,62853,1,1
3008,1,1,33000,5,5,1,1,2,2,1,2,2,813.44,1,1,7016,399,1,116711,4145,34206,116711,4145,0,0
3009,2,3,57000,6,4,14,1,1,2,2,2,2,116.76,11,1,7575,508,1,4289137,51445,419009,1429659,30250,0,0
3010,4,8,100000,6,7,91,1,1,2,2,2,2,206.74,39,2,4585,992,1,11751228,163493,775212,2645023,78685,0,0
3011,4,9,5800,3,5,12,1,2,2,2,2,2,2226.17,43,2,5328,933,1,126592,2111,37102,126592,2111,0,0
3012,1,2,81000,6,8,17,1,1,1,2,2,2,53.07,9,2,4564,1172,1,19541168,309176,2059515,7027065,184039,0,0
3013,2,3,45000,5,3,23,1,1,2, ,2,2,166.6,12,1,6792,582,1,4951284,112321,1025322,3498399,98949,0,0
3014,2,4,6000,3,5,26,1,2,2,1,2,2,2447.55,18,1,7316,781,1,60730,1573,17799,60730,1573,1,1
3016,4,8,300000,8,2,2,1,1,2,2,2,2,10.35,38,1,5939,747,1,27671963,276393,3652715,12463064,203306,1,1
3017,2,4,5000,2,6,7,1,2,1,1,2,2,2724.37,19,1,5014,1079,1,290299,5628,83456,284752,5583,0,0
3018,3,7,7900,3,5,15,1,1,2,2,2,2,1446.07,33,2,3016,1997,1,4446976,37458,491346,1676473,26872,0,0
3019,3,5,2400,2,5,12,1,1,2,2,2,2,2314.83,25,1,3262,1743,1,45137,903,5735,19568,603,1,0
3020,1,2,5200,3,7,23,1,1,2, ,2,2,869.22,6,1,4938,1196,1,1267468,27357,185126,631650,21839,0,0
3021,3,7,10250,4,7,5,1,2,2,2,2,2,1331.23,34,2,1402,2991,1,142598,4172,41793,142598,4172,1,1
3022,4,9,168000,7,5,2,1,1,2,2,1,2,62.84,43,1,4908,410,1,29791379,382075,3994464,13629111,191949,0,0
3023,1,2,8000,3,3,5,1,1,2,2,2,2,869.22,8,2,3817,1316,1,727236,9612,39605,135132,5046,0,0
