PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,MFHTBTU8 ,MFCLBTU8 ,MFVNBTU8 ,MFWTBTU8 ,MFLTBTU8 ,MFCKBTU8 ,MFRFBTU8 ,MFOFBTU8 ,MFPCBTU8 ,MFMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1729,4,9,1200,2,3,1,2,2,2,2,2,2,2996.93,40,2,                  ,                  ,0,                  ,0,                  ,0,0,0,                  
1730,2,4,9600,3,5,5,1,2,1,2,2,2,3110.9,17,2,132943,0,0,0,43575,0,23486,0,0,16855
1731,2,4,26500,5,4,18,1,2,2,2,1,2,720.92,17,2,2046331,0,58081,2201669,155214,0,12830,0,111669,108264
1732,3,7,29000,5,8,23,1,1,2, ,2,2,333.68,34,1,106817,845511,290049,308049,899092,169658,146440,24368,34697,321568
1733,1,2,200000,7,6,14,1,1,1,2,2,2,4.43,102,1,2670042,3456053,3432279,4072342,4190308,119539,2050576,521250,818294,1123844
1734,1,2,1500,2,2,25,1,2,1,2,2,2,2739.65,6,2,205400,12805,6367,2160,41335,0,0,1021,10437,17892
1735,3,7,138000,7,6,23,1,1,2, ,2,2,343.4,33,2,2830176,3382873,1622443,1993013,5816945,2252551,947440,157654,224486,1883905
1736,2,3,46500,5,3,14,1,1,2,2,2,2,413.73,13,2,3729799,34526,134282,49588,221389,124079,20341,13742,22706,19731
1737,4,9,68000,6,7,5,1,1,2,2,2,2,242.54,40,2,1073168,68186,129053,43841,736885,0,72896,6671,51559,148225
1738,3,7,136000,7,7,14,1,1,2,2,2,2,128.89,35,1,335429,5868568,1245237,536088,4473159,53303,105342,7662,92148,256159
1739,2,4,29000,5,5,17,1,1,2,2,2,2,402.35,17,1,1054805,189965,395809,620773,518563,23471,53495,15587,16439,213904
1740,2,4,93000,6,1,18,1,1,1,2,2,2,71.94,19,2,2987887,99472,45070,3625242,1884157,913170,35536,8830,39470,314070
1741,1,1,54000,6,3,14,1,2,1,2,2,2,243.77,3,1,3388352,25333,182832,100812,128731,0,0,6765,29933,30378
1742,2,3,2400,2,3,7,1,1,2,2,2,2,1697.96,14,1,188992,0,667,42571,5837,0,15881,0,0,8829
1743,3,5,86000,6,6,23,1,1,2, ,2,2,68.04,22,1,1742922,1850748,1216637,494599,4362010,637112,710466,118222,168337,1348101
1744,2,3,12000,4,8,25,1,1,2,2,2,2,864.37,16,1,806757,61262,66406,31653,256989,0,76948,15568,66421,104106
1745,3,6,1400,2,4,14,1,2,2,1,2,2,2368.36,31,1,0,1886,0,559,1914,0,1433,0,0,251
1746,2,3,3200,2,2,5,2,2,2,2,2,2,2447.55,14,1,                  ,                  ,0,                  ,0,                  ,0,0,0,                  
1747,2,3,3750,2,2,12,1,1,2,2,2,2,2459.66,12,1,69972,1955,588,1640,7602,0,8773,255,248,7621
1749,4,9,6700,3,7,12,1,1,2,2,2,2,950.84,41,1,87385,23290,2611,6141,37591,16585,28412,0,0,29396
1750,2,3,27000,5,1,26,1,1,2,2,2,2,1536.49,12,2,1229208,0,0,1294,86172,0,0,0,616,94439
1751,2,3,26500,5,3,14,1,1,2,2,2,2,214.9,13,2,2241116,80924,184982,311837,129885,43105,24711,4138,78544,20490
1752,2,3,160000,7,5,8,1,1,2,2,2,2,72.3,14,2,2225725,860477,1481658,73685,6001429,0,1139032,339882,855989,5923901
1753,2,3,20000,4,2,25,1,1,2,2,2,2,679.47,13,1,404874,10210,15987,334,103153,0,4539,107,0,20469
1755,3,5,12250,4,7,26,1,1,2,2,2,2,807.37,26,2,29772,33662,180190,0,406339,0,22068,5433,11455,1680912
1756,2,3,42000,5,6,23,1,1,2, ,2,2,408.27,64,2,1330918,123405,203350,238311,695551,0,113289,18851,26842,198794
1757,3,5,25000,4,6,12,1,2,2,2,2,2,807.37,28,1,0,158296,69042,7308,126206,0,11822,6659,4905,136917
1758,3,7,10000,3,7,2,1,2,2,2,2,2,706.45,34,1,11390,197595,26457,19515,200111,0,53308,14576,56761,56397
1759,2,4,2000,2,7,26,1,2,2,2,2,2,3110.9,17,1,0,0,0,0,254,0,0,0,0,1039
1760,3,7,800000,9,7,16,1,1,1,2,2,2,11.84,36,1,20890735,19022265,21050605,32525556,29329502,2436695,1064960,174335,1127306,10860999
1761,3,7,2100,2,8,1,2,2,2,2,2,2,3503.79,35,1,                  ,                  ,0,                  ,0,                  ,0,0,0,                  
1762,1,2,170000,7,5,13,1,1,1,2,2,2,88.53,5,2,18657252,347447,2209347,1089402,2412317,1027463,1671900,9002,13966,6445166
1763,3,5,78000,6,6,23,1,1,2, ,2,2,87.4,21,2,2040555,495682,571346,332802,1976991,749308,322004,53581,76295,578686
1764,3,7,43000,5,7,23,1,2,2, ,2,2,192.72,35,1,93174,939926,314635,334160,975302,0,158853,26433,37639,350967
1765,1,2,1100,2,2,6,1,1,2,2,2,2,2739.65,9,2,39683,7836,1003,19351,15713,0,157955,1535,0,6013
1767,3,5,6100,3,5,13,1,1,2,2,2,2,1769.43,23,2,400858,83625,86388,4118,33162,0,20078,10508,31866,56739
1768,3,5,18000,4,6,25,1,1,1,1,2,2,343.4,22,1,294370,113844,86190,8937,556014,0,60792,15330,22627,123371
1769,4,9,16000,4,2,14,1,1,2,2,2,2,950.84,62,1,150553,23324,46078,0,164548,0,13088,0,11510,461352
1770,3,5,900000,9,5,2,1,1,2,2,2,2,5.49,92,1,3016234,13120770,5420848,789472,40334614,269612,295116,2744303,4530194,6484485
1773,4,9,2500,2,3,5,1,2,2,2,2,2,4126.4,40,2,0,0,0,0,4745,0,0,4,0,2358
1774,2,3,15000,4,8,25,1,1,2,2,2,2,864.37,64,2,665656,59710,96880,33465,368320,0,91256,11751,10079,102887
1776,3,6,114000,7,7,17,1,1,1,2,2,2,115.1,30,1,1607671,499349,689907,1176836,2573553,83637,32944,2634,4828,445588
1777,4,8,53000,6,6,14,1,1,2,2,2,2,243.77,39,2,459009,286346,464437,104845,653840,25928,69054,29581,76445,103310
1778,3,7,5000,2,4,26,1,1,2,2,2,2,807.37,49,2,35502,6908,9943,3367,77670,0,0,6,0,9143
1779,4,9,11750,4,2,14,1,2,2,2,1,1,360.63,41,1,1226384,0,189173,437616,225071,0,0,255391,218825,74342
1780,1,2,15500,4,2,13,1,2,2,1,1,2,352.58,7,1,2249000,0,62290,1165,13125,0,0,0,256,25254
1783,3,5,24000,4,6,5,1,1,2,2,2,2,734.43,23,2,57014,9202,22598,1747,51844,0,19690,3491,5274,35328
1784,2,4,4200,2,5,26,1,2,2,2,2,2,2459.66,18,2,0,0,9349,179,25721,0,10783,0,770,20981
1785,4,8,22000,4,5,26,1,1,2,2,2,2,869.22,38,2,4369578,90887,564368,88672,2229496,0,69274,24735,37618,353023
1786,4,9,2300,2,7,8,1,1,2,2,2,2,1926.09,41,1,1552,20007,6695,61963,67772,0,24831,27500,10935,55122
1787,1,2,325000,8,2,91,1,1,1,2,2,2,82.18,4,2,23521936,3444814,8028549,449227,21173382,0,325834,1179085,2315943,10361171
1788,1,2,1500,2,2,15,1,1,2,1,2,2,1711.45,10,2,0,10225,0,191441,23267,546033,118587,333,0,8173
1789,3,7,3000,2,7,91,1,1,2,2,2,2,3187.23,32,2,10513,6068,1070,0,5446,0,14261,17,723,198390
1791,3,7,18000,4,6,2,1,1,2,2,2,2,807.37,36,1,29534,72523,10572,3370,115680,0,55239,11154,25787,102004
1792,2,3,2500,2,1,2,1,1,2,2,2,2,2459.66,12,2,100285,1046,735,1269,44869,0,2514,1178,597,1994
1793,3,5,2100,2,1,1,2,2,2,2,2,2,678.14,25,1,                  ,                  ,0,                  ,0,                  ,0,0,0,                  
