PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,CLIMATE7 ,NFLOOR7  ,YRCON7   ,MONCON7  ,GOVOWN7  ,GOVTYP7  ,NOCC7    ,NOCCAT7  ,OWNOCC7  ,OWNREP7  ,MONUSE7  ,PORVAC7  ,OPEN247  ,OPNMF7   ,OPNWE7   ,WKHRS7   ,WKHRSC7  ,NWKER7   ,NWKERC7  ,HT17     ,HT27     ,COOL7    ,WATR7    ,COOK7    ,MANU7    ,GENR7    ,HEATP7   ,HTLS507  ,COOLP7   ,LTOHRP7  ,ADJWT7   ,PAIR7    ,STRATUM7
2455,2,3,475000,8,8,5,1,1,1,1,2,2,2,1,1996,  ,2, ,1,2,2,2,12,2,1, , ,168,7,800,9,1,2,1,1,2,2,1,100, ,7,100,192.99,2,16
2456,3,5,50000,5,6,26,1,1,2,2,2,2,3,1,1981,  ,2, ,1,2,1, ,12,2,2,1,1,86,6,40,5,1,2,1,2,2,1,2,100, ,100,100,242.88,2,24
2457,1,1,85000,6,3,14,1,1,2,2,2,2,2,2,1957,  ,1,3,1,2,1, ,10,2,2,1,1,110,6,70,6,1,1,1,1,1,2,2,100, ,20,80,426.79,2,44
2458,3,5,9500,3,6,2,1,2,2,2,2,2,3,2,1986,  ,2, ,4,3,1, ,12,2,2,1,2,40,3,20,5,1,2,1,1,2,2,2,100, ,100,100,471.87,2,26
2459,3,7,2500,2,6,23,1,2,2,2,2,2,5,1,1980,  ,2, ,3,3,2,2,12,2,2,1,1,85,6,15,4,1,2,1,1,1,2,2,100, ,100,100,169.75,2,15
2460,1,2,27500,5,3,5,1,1,2,2,2,2,3,2,1950,  ,2, ,2,3,1, ,12,2,1, , ,168,7,6,3,1,1,1,1,2,2,2,100, ,20,100,172.95,2,23
2461,3,6,35000,5,4,18,1,2,2,2,2,1,4,2,1960,  ,2, ,1,2,1, ,12,2,1, , ,168,7,2,2,1,2,1,1,2,2,2,100, ,100,100,777.52,2,24
2462,3,7,1500,2,6,15,1,2,2,1,2,2,5,1,1985,  ,2, ,1,2,1, ,12,2,2,1,1,56,4,2,2,1,2,1,1,2,2,2,95, ,98,98,524.16,2,15
2463,3,5,90000,6,5,18,1,1,2,2,2,2,3,6,1974,  ,2, ,2,3,1, ,12,2,1, , ,168,7,25,5,1,1,1,1,1,2,2,100, ,100,60,188.47,2,31
2464,2,3,350000,8,5,14,1,1,2,2,2,2,1,1,1970,  ,2, ,1,2,1, ,9,2,2,1,1,70,5,137,7,1,2,1,1,1,2,2,100, ,75,96,107.87,1,34
2465,2,3,130000,7,7,5,1,1,2,2,2,2,2,2,1992,  ,2, ,2,3,2,2,12,2,2,1,1,70,5,80,6,1,1,1,1,2,2,2,100, ,100,90,180.3,1,25
2466,2,3,50001,6,6,5,1,1,2,2,2,2,1,1,1986,  ,2, ,1,2,1, ,12,2,2,1,2,40,3,2,2,1,2,1,1,2,2,2,100, ,50,100,135.15,2,34
2467,3,5,150000,7,8,2,1,2,1,2,2,2,4,6,1998,  ,2, ,10,4,2,1,12,2,2,1,1,60,4,450,8,1,2,1,1,1,2,1,100, ,100,100,29.94,1,28
2468,4,8,90000,6,1,14,1,2,1,2,2,2,2,3,1905,  ,1,3,1,2,1, ,9,1,2,1,1,40,3,80,6,1,1,1,1,1,2,2,100, ,10,100,118.21,1,30
2469,2,4,2500,2,6,5,1,2,2,2,2,2,3,1,1984,  ,2, ,2,3,1, ,12,2,2,1,2,40,3,1,2,1,2,1,2,2,2,2,25, ,25,100,6304.39,2,42
2470,2,3,90000,6,4,25,1,1,2,2,2,2,1,1,1963,  ,2, ,2,3,2,2,12,2,2,1,1,112,6,58,6,1,2,1,1,1,2,2,100, ,80,100,661.74,2,34
2471,3,5,900000,9,6,2,1,1,2,2,2,2,5,992,1984,  ,2, ,80,7,2,1,12,1,2,1,1,69,5,2500,11,1,2,1,1,1,2,2,100, ,100,100,9.37,2,11
2472,1,1,70000,6,8,25,1,1,2,2,2,2,2,3,1999,3,2, ,1,2,1, ,6,1,2,1,1,74,5,70,6,1,2,1,1,2,2,2,75, ,75,75,198.9,1,32
2473,1,2,1250,2,5,14,1,1,2,2,2,2,3,3,1974,  ,2, ,1,2,1, ,12,2,2,1,2,55,4,3,2,1,2,1,1,2,2,2,100, ,100,100,436.8,2,37
2474,4,9,2250,2,7,26,1,1,2,2,2,2,3,2,1991,  ,2, ,2,3,1, ,12,2,2,1,1,60,4,7,3,1,2,1,1,2,2,2,30, ,30,100,11576.61,1,43
2475,1,1,45000,5,5,5,1,1,2,2,2,2,2,1,1975,  ,2, ,1,2,2,2,12,2,2,1,2,60,4,34,5,1,2,1,1,2,2,2,100, ,10,100,182.51,2,30
2476,1,2,10000,3,3,15,1,1,2,2,2,2,3,1,1957,  ,2, ,2,3,1, ,12,2,1, , ,168,7,40,5,2,2,2,2,1,2,2,   , ,   ,100,168.94,2,33
2477,2,3,110000,7,6,14,1,1,2,2,2,2,2,3,1981,  ,1,2,2,3,1, ,12,2,2,1,1,104,6,30,5,1,1,1,1,2,2,2,100, ,90,100,26.67,2,10
2478,3,5,650000,9,7,2,1,1,2,2,1,2,3,5,1992,  ,1,1,1,2,1, ,12,2,2,1,2,50,4,2325,10,1,1,1,1,1,2,2,100, ,100,100,11.03,1,19
2479,3,6,40000,5,6,18,1,2,2,2,2,2,4,2,1985,  ,2, ,1,2,1, ,12,2,1, , ,168,7,10,4,2,2,1,1,2,2,2,   , ,100,100,523.38,2,24
2480,2,3,15000,4,2,25,1,1,2,2,2,2,2,3,1923,  ,2, ,1,2,2,2,12,2,2,1,1,57,4,8,3,1,2,1,2,2,2,2,100, ,66,95,420.46,2,16
2481,4,9,75000,6,6,2,1,1,2,2,2,2,4,4,1989,  ,2, ,25,6,1, ,12,1,2,1,2,60,4,150,7,1,2,1,1,2,2,2,100, ,100,100,152.85,2,43
2482,2,3,40000,5,4,12,1,1,2,2,2,2,2,2,1965,  ,2, ,1,2,1, ,12,2,2,1,1,32,2,3,2,1,2,1,1,2,2,2,100, ,100,50,498.5,2,11
2483,4,9,4000,2,4,14,1,1,2,2,2,2,4,1,1960,  ,1,3,1,2,1, ,10,2,2,1,2,35,2,8,3,1,2,2,2,2,2,2,100, ,   ,100,2702.7,1,21
