PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,FKTYPFO7 ,FKTYPDS7 ,FKTYPKR7 ,ABLEGEN7 ,ELHT17   ,NGHT17   ,FKHT17   ,PRHT17   ,STHT17   ,HWHT17   ,ELHT27   ,NGHT27   ,FKHT27   ,PRHT27   ,STHT27   ,HWHT27   ,ELCOOL7  ,NGCOOL7  ,FKCOOL7  ,PRCOOL7  ,STCOOL7  ,HWCOOL7  ,ELWATR7  ,NGWATR7  ,FKWATR7  ,PRWATR7  ,STWATR7  ,HWWATR7  ,ELCOOK7  ,NGCOOK7  ,FKCOOK7  ,PRCOOK7  ,STCOOK7  ,HWCOOK7  ,ELMANU7  ,NGMANU7  ,FKMANU7  ,PRMANU7  ,STMANU7  ,HWMANU7  ,NGGENR7  ,FKGENR7  ,PRGENR7  ,GENUSE7  ,NGOTH7   ,FKOTH7   ,PROTH7   ,STOTH7   ,HWOTH7   ,ELLOCUT7 ,ELNONLU7 ,ELOTSRC7 ,ELLUPCT7 ,NGLOCUT7 ,NGOTSRC7 ,ADJWT7   ,PAIR7    ,STRATUM7
03814,3,6,  17500.00,04,05,05,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  493.51,1,12
03815,4,9,   1250.00,02,02,26,1,2,1,2,2,2,1,2,2,2,2, ,1, , , ,2, ,2, , , ,2, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , , ,2, , , , , , , ,1,2,2,   , , , 5336.61,2,35
03816,4,9,  40000.00,05,04,25,1,2,2,2,2,2, , , ,9,2, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  173.60,1,20
03817,2,3,  17500.00,04,02,13,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  414.39,2,32
03818,1,2, 200000.00,07,02,02,1,2,2,2,1,1, , , ,1,2, , , ,1,2,1, , , ,2,1,1, , , ,2,2,2, , , ,2,1,2, , , ,2,2,2, , , ,2,2, , , , , , , , , ,1,2,2,   , , ,   18.93,2,40
03819,3,5,  55000.00,06,06,18,1,1,2,2,2,2, , , ,1,1,2, , , , ,2,2, , , , ,1,2, , , , ,1,1, , , , ,1,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  129.43,1,44
03820,3,5,  30000.00,05,07,23,1,2,2,2,2,2, , , ,2,2, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,1, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  672.26,2,13
03821,2,3,   2000.00,02,03,01,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 3235.21,1,15
03822,1,2,  12500.00,04,03,25,1,1,2,2,2,2, , , ,1,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 6335.31,2,28
03823,3,7,  55000.00,06,08,06,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  114.98,1,15
03824,2,4,   5000.00,02,04,02,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 9862.40,2,10
03825,3,7,  60000.00,06,06,05,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  265.60,2,27
03826,4,9, 250000.00,08,08,25,1,1,2,2,1,2, , , ,2,2,2, , ,1, ,2,1, , ,2, ,1,2, , ,2, ,1,1, , ,2, ,1,1, , ,2, ,2,2, , ,2, ,2, , , , , , , , ,1,2,2,   ,1,2,   29.94,2,35
03827,1,2,  11250.00,04,08,25,1,1,2,2,2,2, , , ,2,1,2, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  511.16,1,27
03828,2,3,  65000.00,06,08,18,1,2,2,1,2,2, , , ,2,1, , ,2, , ,2, , ,1, , ,1, , ,2, , ,2, , ,1, , ,2, , ,2, , ,2, , ,2, , , , ,2, , , , , , ,1,2,2,   , , ,  134.99,2,41
