PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,ADJWT7   ,PAIR7    ,STRATUM7 ,HDD657   ,CDD657   ,MFUSED7  ,MFBTU7   ,MFEXP7   ,ELCNS7   ,ELBTU7   ,ELEXP7   ,zelcns7  ,zelexp7
03218,3,5,  45000.00,05,03,01,2,2,2,2,2,2,  188.47,1,31,  2944,  1534,2,                  ,          ,               ,                  ,          ,9,9
03219,2,3, 650000.00,09,03,02,1,1,2,2,2,2,    9.37,1,02,  6053,   811,1,          54861695,    866176,       11945280,          40757295,    809635,0,0
03220,4,9,1400000.00,10,07,05,1,1,2,2,2,2,    7.04,1,11,  3028,  1168,1,          28863812,    539076,        6885962,          23494902,    518827,0,0
03221,2,3,  60000.00,06,05,02,1,1,2,2,2,2,  188.42,2,07,  5860,   726,1,           4314436,    112423,         963600,           3287803,    107294,0,0
03222,3,6, 275000.00,08,05,16,1,1,1,2,2,2,   15.22,1,02,  2827,  1747,1,         244510400,   2065691,       38993231,         133044904,   1507649,0,0
03223,3,7,   2500.00,02,05,06,1,2,2,2,2,2, 3522.57,2,04,  1863,  2292,1,            957421,     18816,         280604,            957421,     18816,3,3
03224,2,3,  40000.00,05,04,05,1,1,2,2,2,2,  203.96,1,16,  6053,   811,1,           1622577,     20660,         140160,            478226,     14851,3,3
03225,1,2,   5000.00,02,02,01,2,2,2,2,2,2, 3437.24,2,05,  4215,  1125,2,                  ,          ,               ,                  ,          ,9,9
03226,4,8,   1250.00,02,03,26,1,1,2,2,2,2,  555.83,2,30,  2850,  1494,1,            170641,      1442,          15179,             51791,       798,0,0
03227,3,5, 600000.00,09,04,02,1,1,1,2,1,2,   11.03,2,36,  4406,  1129,1,          78453238,   1908678,       10421411,          35557854,   1511355,0,0
03228,4,9,  13750.00,04,06,14,1,1,2,2,2,2, 2741.21,1,11,  3028,  1168,1,            780840,     16254,         117326,            400316,     13779,3,0
03229,4,8,  60000.00,06,04,08,1,1,2,2,1,1,   36.35,2,21,  1228,  3578,1,           3337188,     46974,         680956,           2323422,     36989,0,0
03230,2,4,  37500.00,05,03,07,1,2,2,2,1,1,  147.14,2,35,  7543,   558,1,           2861994,     37670,         470690,           1605994,     23509,0,0
03231,3,5,  50000.00,05,07,25,1,1,2,2,2,2,  223.49,1,44,  3274,  1466,1,           3549316,     63713,         895606,           3055808,     60165,3,0
03232,2,4,  15000.00,04,04,12,1,1,2,2,1,2,  464.40,1,08,  4017,  1520,1,           3305232,     38607,         246667,            841628,     19456,3,0
03233,2,3,  55000.00,06,04,02,1,1,1,2,2,2,  628.33,2,21,  5961,   889,1,           3191702,     50771,         695056,           2371531,     48344,0,0
03234,3,5, 130000.00,07,04,25,1,2,2,2,2,2,   96.65,2,38,   363,  3331,1,           6326121,    158935,        1854080,           6326121,    158935,0,0
03235,2,3,  75000.00,06,08,14,1,1,2,2,2,2,  116.32,1,03,  5961,   889,1,           6325061,    118753,        1232690,           4205938,    104562,3,0
03236,3,5, 120000.00,07,04,04,1,1,1,2,2,2,   28.73,1,31,  2944,  1534,1,          48121964,    417753,        6234160,          21270954,    311708,0,0
03237,3,5,  40000.00,05,04,14,1,2,1,2,2,2,  184.60,1,14,  3994,  1192,1,           1259279,     17364,         112749,            384700,     12661,0,0
03238,2,3,  70000.00,06,06,14,1,1,2,2,2,2,  104.66,1,16,  5771,   889,1,           5001686,     36127,         346164,           1181112,     19352,0,0
